	积分流强A*h	  流强mA	  寿命h 	压强pa  	流强*寿命	压强/流强
	3.617720634	17.24967406	2.010693197	2.94E-07	34.68380228	1.71E-08 第一阶段 20140211-20141111
	4.26014545	13.6605654	2.008798175	2.52E-07	27.44131885	1.84E-08
	4.667181995	21.9040216	2.039586967	3.19E-07	44.67515699	1.45E-08
	4.750506286	25.6802 	2.009101273	2.91E-07	51.59412252	1.13E-08
	5.481926179	25.8786348	2.044966314	4.05E-07	52.92093641	1.56E-08
	5.720495595	24.7586834	2.036489503	3.70E-07	50.42079886	1.49E-08
	6.784586238	27.0007488	2.199189121	3.51E-07	59.37975302	1.30E-08
	7.71682844	27.511308	2.069398993	4.03E-07	56.93187307	1.46E-08
	8.512379342	31.5216114	2.233974339	3.18E-07	70.41847099	1.01E-08
	8.897578737	28.716084	2.515763457	2.81E-07	72.24287475	9.80E-09
	14.974998	57.5621542	2.014284715	5.37E-07	115.9465674	9.33E-09
	18.6237502	28.6868662	3.489789544	4.21E-07	100.1111257	1.47E-08
	19.18879109	63.3265658	2.367156793	4.29E-07	149.9039104	6.78E-09
	25.60132887	34.3329768	4.593693497	2.64E-07	157.7151723	7.68E-09
	26.96354009	78.9351406	2.202985403	3.29E-07	173.8929626	4.17E-09
	27.69858134	68.9281596	2.580159942	3.04E-07	177.8456763	4.41E-09
	28.9797704	141.3249884	2.067688741	4.24E-07	292.2160873	3.00E-09
	37.21080323	41.1820356	4.459917433	2.69E-07	183.6684785	6.54E-09
	40.19499064	64.3751078	2.973201061	3.02E-07	191.4001388	4.70E-09
	45.50091425	91.1088972	3.56514899	2.85E-07	324.8167928	3.13E-09
	46.61170268	100.3136762	2.290352993	3.10E-07	229.7537286	3.09E-09
	48.75380371	48.0580652	4.19432661	2.25E-07	201.5712217	4.68E-09
	54.22862175	129.8430358	3.047792237	3.16E-07	395.7345965	2.44E-09
	55.69158076	71.9305672	3.351770909	2.33E-07	241.0947826	3.24E-09
	57.82254678	246.238278	2.154419527	4.33E-07	530.5005545	1.76E-09
	61.19140551	148.5605242	2.11182708	3.33E-07	313.734138	2.24E-09
	63.00259331	138.2608594	2.785333762	2.82E-07	385.1026397	2.04E-09
	63.44420672	33.0760464	8.730118896	1.66E-07	288.7578177	5.02E-09
	66.98836209	220.913412	2.071467378	3.80E-07	457.6149263	1.72E-09
	71.20412223	154.8979518	2.544111276	3.13E-07	394.0776258	2.02E-09
	77.98220645	90.2828264	3.395770417	2.07E-07	306.5797511	2.29E-09
	78.93499645	259.630964	2.550114499	3.47E-07	662.0886857	1.34E-09
	81.63350928	192.1969168	2.71504532	2.66E-07	521.8233395	1.39E-09
	82.98107643	262.367292	2.864748869	3.02E-07	751.616403	1.15E-09
	84.50150745	132.6290122	3.129637331	2.03E-07	415.0807078	1.53E-09
	86.88704233	110.0136482	3.01869794	1.93E-07	332.0979732	1.76E-09
	87.28092211	35.3998898	10.18064295	1.28E-07	360.3936386	3.61E-09
	90.03701228	120.523007	2.016543463	2.50E-07	243.039882	2.07E-09
	92.80626029	65.4487554	5.954779484	1.66E-07	389.7329059	2.53E-09
	94.03740174	241.640788	2.294288243	3.10E-07	554.3936188	1.28E-09
	97.96297114	152.8384772	2.751351427	2.76E-07	420.5123624	1.81E-09
	103.1273645	310.269108	2.115232206	3.78E-07	656.2912099	1.22E-09
	104.2021439	154.2006068	2.797034488	2.16E-07	431.3044152	1.40E-09
	107.0266969	189.8538754	2.203893976	2.64E-07	418.4178123	1.39E-09
	108.4450228	148.8640066	3.454131412	2.18E-07	514.1958413	1.46E-09
	109.3097005	135.8157818	2.452442625	2.16E-07	333.0804124	1.59E-09
	110.8302014	158.6482138	3.876875696	2.11E-07	615.0594043	1.33E-09
	112.976548	141.9249278	2.983713728	2.44E-07	423.4633554	1.72E-09
	113.6533268	274.637096	2.944581576	2.84E-07	808.6913329	1.03E-09
	114.605971	140.5464782	4.010328696	1.83E-07	563.6375746	1.30E-09
	115.405277	180.487664	2.557230027	2.29E-07	461.5484738	1.27E-09
	116.8672573	103.6872496	3.635130568	1.77E-07	376.9166906	1.71E-09
	118.6566707	231.631878	2.916637392	2.43E-07	675.5861966	1.05E-09
	119.5721799	205.61795	2.038668559	2.74E-07	419.1868499	1.33E-09
	120.2569408	184.7308268	3.466728939	2.92E-07	640.4117032	1.58E-09
	121.9819386	82.6373112	3.674009204	1.61E-07	303.6102419	1.95E-09
	123.2810434	167.353538	4.188092572	2.00E-07	700.8921094	1.19E-09
	124.6175116	223.468388	3.5947891	2.25E-07	803.3217253	1.01E-09
	126.7346808	83.4124518	5.931760326	1.47E-07	494.7826723	1.76E-09
	127.9241595	165.2073514	3.327724877	2.98E-07	549.7646131	1.80E-09
	130.611502	176.2271582	2.938840982	3.89E-07	517.9035946	2.21E-09
	131.2062917	77.95611	3.738459084	1.75E-07	291.4357276	2.25E-09
	131.7462827	181.1354032	3.649524484	1.82E-07	661.0580889	1.00E-09
